,tweet_id,retweet_count,favorite_count
752,778039087836069888,2932,9157
753,778027034220126208,1806,7092
754,777953400541634568,3908,0
755,777885040357281792,1822,6869
756,777684233540206592,3270,12127
757,777641927919427584,4727,0
758,777621514455814149,2768,9475
759,777189768882946048,4808,15465
760,776819012571455488,15244,0
761,776813020089548800,1339,5262
762,776477788987613185,3117,9562
763,776249906839351296,10173,0
764,776218204058357768,17711,32404
765,776201521193218049,2796,10357
766,776113305656188928,4830,12688
767,776088319444877312,168,1982
768,775898661951791106,17443,0
769,775842724423557120,2978,12651
770,775733305207554048,4446,14941
771,775729183532220416,5078,13935
772,775364825476165632,3311,8025
773,775350846108426240,4349,10963
774,775085132600442880,5244,16772
775,774757898236878852,1961,9213
776,774639387460112384,1924,7241
777,774314403806253056,6196,23467
778,773985732834758656,4311,11581
779,773922284943896577,1917,6898
780,773704687002451968,1819,7113
781,773670353721753600,1438,5742
782,773547596996571136,6832,23785
783,773336787167145985,5648,0
784,773308824254029826,8270,25039
785,773247561583001600,3558,10141
786,773191612633579521,4553,10777
787,772877495989305348,4295,9257
788,772826264096874500,2576,8595
789,772615324260794368,3729,0
790,772581559778025472,1877,6972
791,772193107915964416,1535,6479
792,772152991789019136,1241,4067
793,772117678702071809,809,4031
794,772114945936949249,521,2916
795,772102971039580160,1020,4315
796,771908950375665664,2100,7083
797,771770456517009408,3758,12947
798,771500966810099713,2898,8911
799,771380798096281600,5648,11339
800,771171053431250945,8363,0
801,771136648247640064,3231,9910
802,771102124360998913,1586,6708
803,771014301343748096,1829,7409
804,770787852854652928,1355,5346
805,770772759874076672,1567,5590
806,770655142660169732,1924,7893
807,770414278348247044,2273,6773
808,770293558247038976,1647,6721
809,770093767776997377,3361,0
810,770069151037685760,2547,8160
811,769940425801170949,10670,33880
812,769695466921623552,1835,6881
813,769335591808995329,8489,0
814,769212283578875904,1897,5803
815,768970937022709760,7236,15516
816,768909767477751808,2992,0
817,768855141948723200,985,4526
818,768609597686943744,1337,4433
819,768596291618299904,1410,5407
820,768554158521745409,6427,0
821,768473857036525572,3792,14659
822,768193404517830656,3908,11730
823,767884188863397888,1550,5107
824,767754930266464257,5953,17238
825,767500508068192258,2573,8053
826,767191397493538821,4216,13231
827,767122157629476866,3149,10878
828,766864461642756096,6258,0
829,766793450729734144,1500,5468
830,766714921925144576,424,2798
831,766693177336135680,872,4332
832,766423258543644672,1759,6481
833,766313316352462849,2080,7294
834,766078092750233600,2863,0
835,766069199026450432,959,4598
836,766008592277377025,545,4017
837,765719909049503744,2380,7787
838,765669560888528897,1345,5581
839,765395769549590528,3740,28347
840,765371061932261376,2373,7613
841,765222098633691136,3729,12496
842,764857477905154048,1952,6899
843,764259802650378240,1676,6511
844,763956972077010945,59,795
845,763837565564780549,4605,13568
846,763183847194451968,1630,5817
847,763167063695355904,3332,0
848,763103485927849985,2504,7909
849,762699858130116608,3993,13092
850,762471784394268675,7181,12147
851,762464539388485633,4649,11124
852,762316489655476224,1245,5187
853,762035686371364864,17202,34384
854,761976711479193600,2227,5815
855,761750502866649088,4351,0
856,761745352076779520,944,4576
